country	year	value
EL	2016	87912850.0
ES	2016	294556428.0
EL	2017	97034421.0
ES	2017	305907462.0
EL	2018	118876323.0
ES	2018	301022634.0
EL	2019	119971390.0
ES	2019	299091409.0
