country	year	value
EL	2016	110020042.0
ES	2016	454957250.0
EL	2017	119009014.0
ES	2017	471199729.0
EL	2018	142940411.0
ES	2018	466940717.0
EL	2019	143594467.0
ES	2019	469813551.0
