country	year	value
EL	2016	16915996.0
ES	2016	61341839.0
EL	2017	19068697.0
ES	2017	65233045.0
EL	2018	24320893.0
ES	2018	65771059.0
EL	2019	25038498.0
ES	2019	67728098.0
